Polling Station (Main and Auxiliary) Details,,,,,,,,,,
AC No. & Name,Polling Station No.,Polling Station Name,Main/Auxiliary Polling Station (M/A),Elector Serial No. From,Elector Serial No. To,Latitude of Polling Station Building,Longitude of Polling Station Building,Electricity facility at PS (Yes/No),Toilet Facility at PS (Yes/No),Ramp Facility at PS (Yes/No)
199-Brahampur,24,"Madhya Vidyalay, Niyajipur",Main,1,560,25.681,84.16079,Yes,Yes,Yes
199-Brahampur,25,"Utkramit Kanya Madhya Vidyalay, Niyajipur Kala",Main,1,946,25.6775,84.1516,Yes,Yes,Yes
199-Brahampur,26,"Prathmik Vidyalay, Niyajipur (Purab Bhag)",Main,1,800,25.674,84.1556,Yes,Yes,Yes
199-Brahampur,27,"Prathmik Vidyalay, Niyajipur (Uttari Bhag)",Main,1,600,25.674,84.1556,Yes,Yes,Yes
199-Brahampur,27A,Prathmik Vidyalaya Niyajipur Dakshin Bhag,Auxiliary,601,1176,25.674,84.1556,Yes,Yes,Yes
199-Brahampur,28,"Utkramit Madhya Vidyalay, Raghuvansh Pathak Ke Dera Niyajipur Khurd Dakshin Bhag",Main,1,600,25.6866,84.1631,Yes,Yes,Yes
199-Brahampur,28A,Utkramit Madhya Vidyalaya Raghuwansh Pathak Ke Dera Niyajipur Khurd Uttar Bhag,Auxiliary,601,1269,25.6866,84.1631,Yes,Yes,Yes
199-Brahampur,29,"Utkramit Madhya Vidyalay, Pratappur Dakshin Bhag Niyajipur Khurd me Awasthit",Main,1,983,25.6979,84.1547,Yes,Yes,Yes
199-Brahampur,30,"Utkramit Madhya Vidyalay, Pratappur Uttari Bhag Niyajipur Khurd me Awasthit Paschim Bhag",Main,1,600,25.6979,84.1547,Yes,Yes,Yes
199-Brahampur,30A,Utkramit Madhya Vidyalaya Pratappur Uttar Bhag Niyajipur Khurd Me Awasthit Purab bhag,Auxiliary,601,1114,25.6979,84.1547,Yes,Yes,Yes
199-Brahampur,31,"Uchcha Vidyalay, Niyajipur",Main,1,877,25.6837,84.152,Yes,Yes,Yes
199-Brahampur,32,"Prathmik Vidhyalay, Lal Singh Ke Dera Niyajipur Khurd Purvi Bhag",Main,1,847,25.69895,84.16421,Yes,Yes,Yes
199-Brahampur,33,"Prathmik Vidyalay, Lal Sinh Ke Dera, Niyajipur Khurd Pashchimi Bhag",Main,1,730,25.69895,84.16421,Yes,Yes,Yes
199-Brahampur,34,"Mahanth Madhya Vidyalay, Arjunapur Dakshin Bhag",Main,1,700,25.6728,84.1557,Yes,Yes,Yes
199-Brahampur,34A,Mahanth Madhya Vidyalaya Arjunpur Uttar Bhag,Auxiliary,701,1340,25.6728,84.1557,Yes,Yes,Yes
199-Brahampur,35,"Utkramit Madhya Vidyalay, Navrang Ray Ke Dera Me Avasthit Rajapur Purab Bhag",Main,1,732,25.677,84.1747,Yes,Yes,Yes
199-Brahampur,36,UTKRAMIT MADHYA VIDYALAYA NAWRANG RAY KE DERA ME AWSTHITH RAJAPUR MADHYA BHAG,Main,1,705,25.677,84.1747,Yes,Yes,Yes
199-Brahampur,37,"Prathmik Vidyalay, Chova Ray Ke Dera Avasthit Rajapur",Main,1,668,25.6819,84.17157,Yes,Yes,Yes
199-Brahampur,38,"Utkramit Madhya Vidyalay, Naurang Ray Ke Dera Me Avasthit Rajapur Pashchim Bhag",Main,1,700,25.677,84.1747,Yes,Yes,Yes
199-Brahampur,38A,Utkramit Madhya Vidyalaya Nawrang Rai ke Dera Me awathit Rajapur Purab Madhya Bhag,Auxiliary,701,1341,25.677,84.1747,Yes,Yes,Yes
199-Brahampur,39,"Utkramit madhya Vidyalay, Beni Lal Ke Dera Avasthit Rajapur Dakshin Bhag",Main,1,600,25.6959,84.1798,Yes,Yes,Yes
199-Brahampur,39A,Utkramit Madhya Vidyalaya Benilal ke Dera me awasthit Rajapur Uttar Bhag,Auxiliary,601,1180,25.6959,84.1798,Yes,Yes,Yes
199-Brahampur,40,"Prathmik Vidyalay, Ramadas Ray Ke Dera",Main,1,758,25.69643333,84.19145028,Yes,Yes,Yes
199-Brahampur,41,"Madhya Vidyalay Gangauli, Dubha Tola Gangauli Uttari Bhag",Main,1,700,25.68350706,84.19288262,Yes,Yes,Yes
199-Brahampur,41A,Madhya Vidyalaya Gangauli Dubha Tola Gangauli Uttar Madhya Bhag,Auxiliary,701,1418,25.68350706,84.19288262,Yes,Yes,Yes
199-Brahampur,42,"Madhya Vidyalay Gangauli, Dubha Tola Gangauli,Dakshini Bhag",Main,1,981,25.68350706,84.19288262,Yes,Yes,Yes
199-Brahampur,43,"Madhya Vidyalay,Gangauli Dubha tola Gangauli(Purab Bhag)",Main,1,600,25.6837,84.1928,Yes,Yes,Yes
199-Brahampur,43A,Madhya Vidyalaya Gangauli Dubha Tola Gangauli Dakshin Madhya Bhag,Auxiliary,601,1139,25.6837,84.1928,Yes,Yes,Yes
199-Brahampur,44,"Madhya Vidyalay,Gangauli Dubha Tola Gangauli(Baayan Bhag)",Main,1,788,25.6836,84.1928,Yes,Yes,Yes
199-Brahampur,45,"Madhya Vidyalay,Gangauli Dubha tola Gangauli(Daayan Bhag)",Main,1,919,25.6836,84.1928,Yes,Yes,Yes
199-Brahampur,46,"Utkramit Madhya Vidyalay, Dubha Dakshin Bhag",Main,1,500,25.68,84.1783,Yes,Yes,Yes
199-Brahampur,46A,Utkramit Madhya Vidyalaya Dubha Uttar Bhag,Auxiliary,501,1057,25.68,84.1783,Yes,Yes,Yes
199-Brahampur,47,"Madhya Vidyalay, Kharahatand, Uttari Bhag",Main,1,700,25.64845,84.18368,Yes,Yes,Yes
199-Brahampur,47A,Madhya Vidyalaya Kharhatand Dakshin Bhag,Auxiliary,701,1377,25.64845,84.18368,Yes,Yes,Yes
199-Brahampur,48,"Madhya Vidyalay, Kharahatand (Purab Bhag)",Main,1,700,25.64845,84.18368,Yes,Yes,Yes
