Timestamp,AC No. & AC Name,Polling Station No.,Polling Station Type,Photo of Polling Station Building (PSB),Photo of Polling Station Premises with PS Building (PSP)
06/09/2020 13:18:08,11-Sugauli [2-Purvi Champaran],001,Main,https://drive.google.com/open?id=1XdHck7JVbCjzkLlycvBEBVx2Q4b-i7q3,https://drive.google.com/open?id=1HE3bOMk8ayKdzqowDkq2WyB9ksvIbP3A
06/09/2020 16:27:05,10-Raxaul [2-Purvi Champaran],027,Main,https://drive.google.com/open?id=1UNsu1DKnL5JkhlvRg07X734hY9-kSh8W,https://drive.google.com/open?id=1MrS7EMVsE31W_F8S3LCXl3-NllQ3Nte0
06/09/2020 16:37:12,10-Raxaul [2-Purvi Champaran],027,Auxiliary,https://drive.google.com/open?id=1roJ-Bnr_6usm1bgaIICRuiBcoKvWLy5D,https://drive.google.com/open?id=1XLKuwKcbpEj9ck4CH8DfIMvCeVmUUf8p
06/09/2020 16:42:27,21-Dhaka [2-Purvi Champaran],001,Main,https://drive.google.com/open?id=1kUaWHKKCdF85ztavW4Otu76G0Kdy6-uO,https://drive.google.com/open?id=1xgbKfimdOeEJNVU2PgKbmgdSEQcpqsu3
06/09/2020 16:43:25,21-Dhaka [2-Purvi Champaran],002,Main,https://drive.google.com/open?id=1HxGf8oDHaqLUU6O4gnseKtkImQcL1Eku,https://drive.google.com/open?id=1h6VBiFejqAIJvirHf_JY85_F70rwulNo
06/09/2020 16:53:22,21-Dhaka [2-Purvi Champaran],003,Main,https://drive.google.com/open?id=1M8moqeJWM5_kpWxrLNuSSwUz0QsEwJCN,https://drive.google.com/open?id=17Fk6iSaSIN2IalENK5nYPUwnP_3z0f3v
06/09/2020 16:56:57,21-Dhaka [2-Purvi Champaran],003,Auxiliary,https://drive.google.com/open?id=135YJJnUjYqY0Pqow8mmkr_j_1hHx4lMx,https://drive.google.com/open?id=1LQT9N2Wp1YSzkJ7P04Bxh_Cppr1df-kk
06/09/2020 17:02:11,21-Dhaka [2-Purvi Champaran],004,Main,https://drive.google.com/open?id=1HuCYAriiF0BuJr_TLDMBTn02Lk4HYN0c,https://drive.google.com/open?id=1xSVU5HQk_96MSrPjf8CNntf1J8UtL7pI
06/09/2020 17:02:50,19-Motihari [2-Purvi Champaran],194,Main,https://drive.google.com/open?id=1qdN5sYck-LLsKvWBexGOBh7aSW-wPNTm,https://drive.google.com/open?id=15s8bskVqTrd8KM2_H6lTmiH8jJ42XeWS
06/09/2020 17:03:21,21-Dhaka [2-Purvi Champaran],004,Auxiliary,https://drive.google.com/open?id=1UqUCLD1tvNKGf2LtfiF1c9yhy6WOO2Be,https://drive.google.com/open?id=1CnxdBNZFmjhmiF_pha4Lmjz9E8hw3Qjk
06/09/2020 17:04:03,19-Motihari [2-Purvi Champaran],194,Auxiliary,https://drive.google.com/open?id=1HyXrltcVUk8pzQV5N9Ftn8rx92f13k1Q,https://drive.google.com/open?id=1rSXTV9aP8gLolyoGvIKCsCtZ2OCItgZF
06/09/2020 17:10:23,19-Motihari [2-Purvi Champaran],001,Main,https://drive.google.com/open?id=1yrk050HwYGh8KrRFbfhWY7bTv2ucggC9,https://drive.google.com/open?id=1kbcYSOXGEZIxhsF3-qaKtpHa8rQGWkmw
06/09/2020 17:13:21,19-Motihari [2-Purvi Champaran],001,Main,https://drive.google.com/open?id=1oCgNxsxBaKipwG8AscpUxtCQg9o4LePm,https://drive.google.com/open?id=1vjMBCUO42MsWDgzFZtVcGl5srr8X6nSK
06/09/2020 17:14:12,21-Dhaka [2-Purvi Champaran],005,Main,https://drive.google.com/open?id=1i0JpcZCPJUeUEWWnQdGVa-l7hT_v5DWr,https://drive.google.com/open?id=1ql75AjXo9e-3XviZ5ie8Iov540TDE77t
06/09/2020 17:14:13,19-Motihari [2-Purvi Champaran],001,Auxiliary,https://drive.google.com/open?id=15GQeBKMi81EQSW4rGSrA23kaujWywdZu,https://drive.google.com/open?id=1zn8wm8q-hqS9n9fHYsnH6O54C79HdipP
06/09/2020 17:15:51,19-Motihari [2-Purvi Champaran],002,Main,https://drive.google.com/open?id=1O8VSB7slivse311JhTNVIdueiJRbucxY,https://drive.google.com/open?id=1CZVFWutadUPcQir6_tpsyfOG-bAQBzv0
06/09/2020 17:16:51,19-Motihari [2-Purvi Champaran],002,Auxiliary,https://drive.google.com/open?id=17VqRW9yEsMydyTEbksqPuf5oeXy3XY5p,https://drive.google.com/open?id=1tITQC8gUbkxXO7qCmdLfPz0R0muubJVT
06/09/2020 17:17:32,21-Dhaka [2-Purvi Champaran],006,Main,https://drive.google.com/open?id=1JAwVYA6S9D-yJeONuc9Kb1P9N8VXwJlR,https://drive.google.com/open?id=1CBKfR7qO1dSmN9HVv28YrvYzfjt1zwV8
06/09/2020 17:18:47,21-Dhaka [2-Purvi Champaran],006,Auxiliary,https://drive.google.com/open?id=1a7DBQfmtbvkPPfJbLCpsbv67fB8IGIq5,https://drive.google.com/open?id=1fpv7SwvOSBheuDtwQAN0qoI9P7xzvo80
06/09/2020 17:24:24,21-Dhaka [2-Purvi Champaran],007,Main,https://drive.google.com/open?id=1uHvaazdY1fhS8pdx6MC4YyfN1BdnRyBu,https://drive.google.com/open?id=1JscGpLJyg6Y436x4JsEedD2TXxGFwk8t
06/09/2020 17:25:17,21-Dhaka [2-Purvi Champaran],007,Auxiliary,https://drive.google.com/open?id=1zLxPR_SE5YbFEZL2TBEHQXrHoXJHSbOf,https://drive.google.com/open?id=1FHIrOIiknzm_sB3fSMbP25O23YtTp7HO
06/09/2020 17:30:34,21-Dhaka [2-Purvi Champaran],008,Main,https://drive.google.com/open?id=1LwKC4c-2pquxEbmjOvfu9Mz1vLdRscLx,https://drive.google.com/open?id=1-iuGw0tw1DcYbnAMmKl28PRoEGQAc_Nq
06/09/2020 17:31:35,21-Dhaka [2-Purvi Champaran],008,Auxiliary,https://drive.google.com/open?id=1r9zNS0E7FpFnc3B1MG2mf6-OMN5Oxnuz,https://drive.google.com/open?id=1ZwrxcQfoftBttdp1f7f_kQnqm6XV1gOH
07/09/2020 11:38:53,20-Chiraia [2-Purvi Champaran],001,Main,https://drive.google.com/open?id=1c7Mx9IigvtwlNt5xbuZkNEFsK_LH7X6O,https://drive.google.com/open?id=1w28aS_yqnFkn3MwcfCPklwXNo-WF7iYL
07/09/2020 13:42:43,18-Madhuban [2-Purvi Champaran],001,Main,https://drive.google.com/open?id=1s5mwXcb5Z2S7xT3SwianHIZoyXZnDubY,https://drive.google.com/open?id=17q5E32AJVt2nXvppcJGv6pYkBm0qQPBp
08/09/2020 13:36:01,13-Harsidhi (SC) [2-Purvi Champaran],001,Main,https://drive.google.com/open?id=1SbfY46a50vNM0PFU38SjMEi1JG2sof21,https://drive.google.com/open?id=1bXr63B7Js98L8dOUmEBf9k3alWryeI94
09/09/2020 09:09:42,14-Govindganj [2-Purvi Champaran],113,Main,https://drive.google.com/open?id=1bFL8PSTnmpswEmQUTmol9LmS7uXEEt6i,https://drive.google.com/open?id=1AT7lBZf7oy5maEceEPMAS28LKKP6PmQN
