Polling Station (Main and Auxiliary) Details,,,,,,,,,,
AC No. & Name,Polling Station No.,Polling Station Name,Main/Auxiliary Polling Station (M/A),Elector Serial No. From,Elector Serial No. To,Latitude of Polling Station Building,Longitude of Polling Station Building,Electricity facility at PS (Yes/No),Toilet Facility at PS (Yes/No),Ramp Facility at PS (Yes/No)
240-Sikandra (SC) [38-Jamui],37,37 U.M.S CHATIYANI N. PART,M,1,692,25.00026,85.893695,yes,yes,yes
240-Sikandra (SC) [38-Jamui],38,38 M.S CHATIYANI S. PART,M,1,636,25.000238,85.893716,yes,yes,yes
240-Sikandra (SC) [38-Jamui],39,39 U.M.S NAVINAGAR,M,1,896,24.989997,85.931323,yes,yes,yes
240-Sikandra (SC) [38-Jamui],40,40 U.M.S HATHIYA,M,1,607,24.987044,85.918884,yes,yes,yes
240-Sikandra (SC) [38-Jamui],41,41 N.P.S MANDRA MUSHARI,M,1,975,24.978751,85.90231,yes,yes,yes
240-Sikandra (SC) [38-Jamui],42,42 M.S DINNAGAR N.PART,M,1,550,25.000419,85.921413,yes,yes,yes
240-Sikandra (SC) [38-Jamui],42A,42 M.S DINNAGAR S. PART,A,551,1101,25.00025,85.921394,yes,yes,yes
240-Sikandra (SC) [38-Jamui],43,43 M.S DINNAGA E. PART,M,1,506,25.000252,85.921397,yes,yes,yes
240-Sikandra (SC) [38-Jamui],43A,43 (A) M.S DINNAGA E. PART KE BAGAL ME,A,507,1007,25.00033,85.921386,yes,yes,yes
240-Sikandra (SC) [38-Jamui],44,44 M.S DINNAGAR W. PART,M,1,720,25.00041,85.921407,yes,yes,yes
240-Sikandra (SC) [38-Jamui],44A,44 (A) M.S DINNAGAR W. PART KE BAGAL ME,A,721,1405,25.000384,85.921628,yes,yes,yes
240-Sikandra (SC) [38-Jamui],45,45 M.S DHANAMA N. PART,M,1,814,24.965413,85.9307607,yes,yes,yes
240-Sikandra (SC) [38-Jamui],46,46 M.S DHANAMA S. PART,M,1,671,24.965512,85.93073,yes,yes,yes
240-Sikandra (SC) [38-Jamui],47,47 H.S DHANAMA,M,1,732,24.966894,85.931538,yes,yes,yes
240-Sikandra (SC) [38-Jamui],48,48 ANUSUCHIT JAATI SAMUDHAYIK BHAWAN SAHORA,M,1,636,29.975863,85.9141,yes,yes,yes
240-Sikandra (SC) [38-Jamui],48A,48 (A) ANGANWADI KENDRA NUMBER 41 SAHORA,A,637,1278,24.976,85.913354,yes,yes,yes
240-Sikandra (SC) [38-Jamui],49,49 U.M.S SAHORA,M,1,659,24.976563,85.910792,yes,yes,yes
240-Sikandra (SC) [38-Jamui],50,50 U.M.S SAGMA,M,1,872,24.959908,85.902048,yes,yes,yes
240-Sikandra (SC) [38-Jamui],51,51 U.M.S MOHANPUR E. PART,M,1,578,24.96211,85.915793,yes,yes,yes
240-Sikandra (SC) [38-Jamui],51A,51 U.M.S MOHANPUR W. PART,A,579,1158,24.96211,85.915793,yes,yes,yes
240-Sikandra (SC) [38-Jamui],52,52 U.M.S DANRH,M,1,802,24.956629,85.90044,yes,yes,yes
240-Sikandra (SC) [38-Jamui],53,53 MADRSHA DANRH E.PART,M,1,858,24.954503,85.90164,yes,yes,yes
240-Sikandra (SC) [38-Jamui],54,54 M.S KAIYAR N. PART,M,1,605,24.974025,85.944038,yes,yes,yes
240-Sikandra (SC) [38-Jamui],54A,54 M.S KAIYAR M. PART,A,606,1221,24.97552,85.943832,yes,yes,yes
240-Sikandra (SC) [38-Jamui],55,55M.S KAIYAR S. PART,M,1,744,24.975833,85.944167,yes,yes,yes
240-Sikandra (SC) [38-Jamui],55A,55M.S KAIYAR E. PART,A,745,1316,24.97575,85.944251,yes,yes,yes
240-Sikandra (SC) [38-Jamui],56,56 U.M.S JAGDHAR E.PART,M,1,581,24.963525,85.94254,yes,yes,yes
240-Sikandra (SC) [38-Jamui],56A,56 U.M.S JAGDHAR W. PART,A,582,1195,24.96416,85.942721,yes,yes,yes
240-Sikandra (SC) [38-Jamui],57,57 U.M.S JAKHADA N. PART,M,1,506,24.963493,85.965204,yes,yes,yes
240-Sikandra (SC) [38-Jamui],57A,57 U.M.S JAKHADA S. PART,A,507,1064,24.96349,85.965204,yes,yes,yes
240-Sikandra (SC) [38-Jamui],58,58 U.M.S MESOUDA N. PART,M,1,652,24.97803,85.969432,yes,yes,yes
240-Sikandra (SC) [38-Jamui],58A,58 U.M.S MESOUDA S. PART,A,653,1296,24.97793,85.969511,yes,yes,yes
240-Sikandra (SC) [38-Jamui],59,59 U.M.S DIGHUT N. PART,M,1,574,24.953126,85.969816,yes,yes,yes
240-Sikandra (SC) [38-Jamui],59A,59 U.M.S DIGHUT M. PART,A,575,1151,24.95313,85.969816,yes,yes,yes
240-Sikandra (SC) [38-Jamui],60,60 U.M.S DIGHOUT S. PART,M,1,700,24.953245,85.970035,yes,yes,yes
240-Sikandra (SC) [38-Jamui],60A,60 U.M.S DIGHOUT W. PART,A,701,1388,24.95285,85.970077,yes,yes,yes
240-Sikandra (SC) [38-Jamui],61,61 U.M.S BARDIH N. PART,M,1,699,24.951136,85.985691,yes,yes,yes
240-Sikandra (SC) [38-Jamui],62,62 U.M.S BIRDIH S. PART,M,1,704,24.95119,85.985627,yes,yes,yes
240-Sikandra (SC) [38-Jamui],63,63 M.S MIRJAGANJ N. PART,M,1,793,24.939701,85.966,yes,yes,yes
240-Sikandra (SC) [38-Jamui],64,64 M.S MIRJAGANJ M. PART,M,1,858,24.93981,85.966,yes,yes,yes
240-Sikandra (SC) [38-Jamui],65,65 M.S MIRJAGANJ S. PART,M,1,593,24.939832,85.966,yes,yes,yes
240-Sikandra (SC) [38-Jamui],65A,65 M.S MIRJAGANJ E. PART,A,594,1175,24.93962,85.966665,yes,yes,yes
240-Sikandra (SC) [38-Jamui],66,66 U.M.S DARKHA N. PART,M,1,712,24.944123,85.937092,yes,yes,yes
240-Sikandra (SC) [38-Jamui],66A,66 U.M.S DARKHA M. PART,A,713,1422,24.94412,85.937092,yes,yes,yes
240-Sikandra (SC) [38-Jamui],67,67 U.M.S DARKHA S. PART,M,1,669,24.944404,85.938049,yes,yes,yes
240-Sikandra (SC) [38-Jamui],67A,67 U.M.S DARKHA E. PART,A,670,1340,24.9444,85.938049,yes,yes,yes
240-Sikandra (SC) [38-Jamui],68,68 U.M.S BALDA N. PART,M,1,601,24.941029,85.949071,yes,yes,yes
240-Sikandra (SC) [38-Jamui],68A,68 U.M.S BALDA S. PART,A,602,1206,24.95017,85.937984,yes,yes,yes
240-Sikandra (SC) [38-Jamui],69,69 U.M.S MAHNA S. PART,M,1,542,24.935192,85.954628,yes,yes,yes
