Timestamp,AC No. & AC Name,Polling Station No.,Polling Station Type,Photo of Polling Station Building (PSB),Photo of Polling Station Premises with PS Building (PSP)
17/09/2020 11:49:51,238-Gobindpur [37-Nawada],007,Main,https://drive.google.com/open?id=19o0rfC8phvzjP5ySKFBYyVg8RQhqRiGS,https://drive.google.com/open?id=1Hi2Z528MoJsPYCXpxR64m0KmCNj4kKrI
17/09/2020 11:53:06,238-Gobindpur [37-Nawada],008,Auxiliary,https://drive.google.com/open?id=1rCLJib6uY9Ucy-VJmcdxfCbzHUNFmfO-,https://drive.google.com/open?id=14PYcMDiGLob8jqsM-Al9raQ-tHTdbNAL
01/10/2020 11:10:54,238-Gobindpur [37-Nawada],309,Main,https://drive.google.com/open?id=160a1tEbSbIS7bSqovVEj3mXlC2e_Hk8I,https://drive.google.com/open?id=1D0YgO-UFN7fSy03GxrwPaRqaWHHAIERA
01/10/2020 11:27:12,238-Gobindpur [37-Nawada],310,Auxiliary,https://drive.google.com/open?id=1uoyrIfojz4jNkjqZpVwMlC5kZ2xfx_2U,https://drive.google.com/open?id=1vJjM4AaP5b1bVytlgPhU00_cjb09wdql
01/10/2020 11:29:09,238-Gobindpur [37-Nawada],388,Main,https://drive.google.com/open?id=1k9C7wSh9hgdoB6PQrGwxc7dprzNxsedB,https://drive.google.com/open?id=1tLGF8uIIsasCQQBX9Wo46dCa3sc1Uch-
01/10/2020 11:30:39,238-Gobindpur [37-Nawada],389,Main,https://drive.google.com/open?id=1lOIa4S1wS-LfWL54UnRk7Tr79f3a7Iu4,https://drive.google.com/open?id=1lNSgo6hGkUjBRFoMrv2FJLmzuRZtvPsJ
01/10/2020 11:32:23,238-Gobindpur [37-Nawada],390,Auxiliary,https://drive.google.com/open?id=1yfAcrB3eoeykQvRpGguYtBVv10sORlgp,https://drive.google.com/open?id=1iLsgJR3lMLRjPw_IgUZdIyZHkcwO4mO0
01/10/2020 11:34:29,238-Gobindpur [37-Nawada],391,Main,https://drive.google.com/open?id=17A4OT78ugrpJJZhXKx_765bXE6DRJ5bI,https://drive.google.com/open?id=1VAu4A5-hCO8SL_rqdtba6b-vSn6p386b
01/10/2020 11:36:09,238-Gobindpur [37-Nawada],392,Main,https://drive.google.com/open?id=10jN-upGJElu2kMwQ3dFbT1sjUhODVNKx,https://drive.google.com/open?id=1GFEiyX9XnNgV8oQ3mgUE3hFgVcfydKOZ
01/10/2020 11:37:20,238-Gobindpur [37-Nawada],393,Auxiliary,https://drive.google.com/open?id=1IIBN5PtUidpI4tXzvfJGHFAAagAeqBr4,https://drive.google.com/open?id=1gbOIw00jYeSCbVjGkaxqWMxIrvJ-kC_h
01/10/2020 11:38:38,238-Gobindpur [37-Nawada],394,Main,https://drive.google.com/open?id=1n9zaW0XcVzFVVox5pLhVeWaV_oJGWSV2,https://drive.google.com/open?id=1z2Df2uvWK2btaktMSSpLapRhfZQn8Nos
01/10/2020 11:40:11,238-Gobindpur [37-Nawada],395,Auxiliary,https://drive.google.com/open?id=1js1exiX6r1gZsSwYsw4A2dAcl3r-cQQj,https://drive.google.com/open?id=1IlsGLOgHOe17TUYrn7HSEY4SrQQBuBis
01/10/2020 11:41:44,238-Gobindpur [37-Nawada],399,Main,https://drive.google.com/open?id=1LH90G5VGyD0zUKyM3aEw1ab-GocvzKBG,https://drive.google.com/open?id=1XfqA4Iy8BME4dsvqjxymvFJRT6_bSraT
01/10/2020 11:43:17,238-Gobindpur [37-Nawada],400,Main,https://drive.google.com/open?id=1ADPFT6L-7i0gXubGUJqyvDbZkYJgNz_S,https://drive.google.com/open?id=11xuMfHsFPhH4YbyQ-_Be52WV5Gd9F4Gt
01/10/2020 11:44:40,238-Gobindpur [37-Nawada],401,Main,https://drive.google.com/open?id=1iC0IZM-MmiOOIwf7B2YLRkgZrHDP_mYo,https://drive.google.com/open?id=17NnFzRJSWbh1lzdn4zlnaCzGtVhHwSKn
01/10/2020 11:45:52,238-Gobindpur [37-Nawada],402,Main,https://drive.google.com/open?id=1g7YcXkj7LjyWUB2YwAlqEJcdJ-gLRwR1,https://drive.google.com/open?id=1oSxqQNw5pOyA4G0OxtsskiQXvMnpMMJ3
