Timestamp,AC No. & AC Name,Polling Station No.,Polling Station Type,Photo of Polling Station Building (PSB),Photo of Polling Station Premises with PS Building (PSP)
05/09/2020 16:30:02,73-Madhepura [11-Madhepura],166,Main,https://drive.google.com/open?id=1dp_TQgAH1Usy-SpdESTKUPitxlGheX-U,https://drive.google.com/open?id=193hzNfHe6xk8_MT202qyS-g55jmbBrA8
24/09/2020 13:24:47,73-Madhepura [11-Madhepura],001,Main,https://drive.google.com/open?id=18VB9xcknnl56sSRkshI5EDB4NsBd3SP1,https://drive.google.com/open?id=1FFRX9D9awypqECIhTpz3Yok1Bgqzm37u
24/09/2020 13:28:26,73-Madhepura [11-Madhepura],002,Main,https://drive.google.com/open?id=1dF3B5_nwltr3WMNw2anE5XB7SvCV0q04,https://drive.google.com/open?id=1RvRQ7eG6W3XYSyT2OAq3ndzI8Y4CAEa-
24/09/2020 13:35:13,73-Madhepura [11-Madhepura],001,Auxiliary,https://drive.google.com/open?id=1_QBgBRLVsLlIXr2iy6-lEc7lDO4tMLbI,https://drive.google.com/open?id=1llIsYh6kUftA0WyHWtIHblrDfMq_LW-P
24/09/2020 13:38:51,73-Madhepura [11-Madhepura],003,Auxiliary,https://drive.google.com/open?id=1n6OlosZX4xFJjoWLuKsfWRhkzu4uTc5E,https://drive.google.com/open?id=1bCdymFcp_L9zfpvKuiRovtkQDa51pW45
24/09/2020 13:40:26,73-Madhepura [11-Madhepura],003,Main,https://drive.google.com/open?id=1lgcjUjSrCBDxSXJpg2VK6XoWBrtAUreu,https://drive.google.com/open?id=1Ps8Qac8n88pcmgPy4geCVGTqFuotqBad
24/09/2020 13:41:59,73-Madhepura [11-Madhepura],004,Main,https://drive.google.com/open?id=1NAAOWCcs28thrc_wrLWedIJYkye0bCY9,https://drive.google.com/open?id=198_f64M3D9ubpAnUG0o7iY94ljkZJkhU
24/09/2020 13:43:38,73-Madhepura [11-Madhepura],005,Main,https://drive.google.com/open?id=1-bn6uSuXoY5wy4zFsGzjpbegG1ypDitk,https://drive.google.com/open?id=1jzfdaa-ONneCCXmCrNzeHs_SsFa3uiNk
24/09/2020 13:44:39,73-Madhepura [11-Madhepura],005,Auxiliary,https://drive.google.com/open?id=1WGI6EUuprFDX2Wiw1to3wQxeKTcP2DfL,https://drive.google.com/open?id=1V5g56k_xsiFP5fHFX-mDHZ7obki26PUo
24/09/2020 13:45:57,73-Madhepura [11-Madhepura],006,Main,https://drive.google.com/open?id=1rza_Nm3HH3TrnRY1E8WA8AY-xxo7kf8_,https://drive.google.com/open?id=1k0N7Cm5zMhEU1ub_YROyB4GKqUKQq1Dq
24/09/2020 13:46:51,73-Madhepura [11-Madhepura],006,Auxiliary,https://drive.google.com/open?id=1obfiTO3ZmOvrsmemGfU3rSMhoUj9n5Pg,https://drive.google.com/open?id=12xm-rpRPfZz-cn0qlHR-4uqnLnxI6YeX
