Timestamp,AC No. & AC Name,Polling Station No.,Polling Station Type,Photo of Polling Station Building (PSB),Photo of Polling Station Premises with PS Building (PSP)
07/09/2020 13:26:59,214-Arwal [33-Arwal],001,Main,https://drive.google.com/open?id=15RFRilUjma5PWItoUmMZG16Pw9PoTyAZ,https://drive.google.com/open?id=1rH-BrOCG2mF7fKL71Ycyl93qOo52RhBj
08/09/2020 07:16:45,214-Arwal [33-Arwal],001,Main,https://drive.google.com/open?id=1sX-33EDWCBKR5KdFpaZANwO6Qf-2O6PS,https://drive.google.com/open?id=1gEMcopoC3vfwmIwhG2bVi7m5P-QkTAvD
08/09/2020 07:18:15,214-Arwal [33-Arwal],001,Auxiliary,https://drive.google.com/open?id=1J9Lbe6kGXmpK95EYibKkAHhsIeDQbjGA,https://drive.google.com/open?id=1gV-l3SJZzNRE79LKn673jOX-YF7MiZBG
08/09/2020 10:36:33,214-Arwal [33-Arwal],001,Main,https://drive.google.com/open?id=13YOP4PvNtqhAvRpZD5N0JUvtFhO6Es79,https://drive.google.com/open?id=1cziuVCCC7G__PvJoIHxckFGXYUmsL3Jb
16/09/2020 16:37:40,214-Arwal [33-Arwal],001,Main,https://drive.google.com/open?id=1ScNiQca4ljgIpR_7xexBz74gCia5YvlX,https://drive.google.com/open?id=1ZkkpFOta1kMImja5Hg49zJuxQCd30BEh
22/09/2020 12:20:09,214-Arwal [33-Arwal],002,Main,https://drive.google.com/open?id=1PjjMbV_6_PosfGlyozeh4B65fCqeP8Er,https://drive.google.com/open?id=1jLww35LqnibgY_ef79XHjuaS0xUPlaYr
22/09/2020 12:21:18,214-Arwal [33-Arwal],002,Auxiliary,https://drive.google.com/open?id=1yCU54csLhwL498O92kTjbhWiwCdlXHje,https://drive.google.com/open?id=1thkn4n8IXsJpP0GAtdstI84sC8SidSvu
22/09/2020 13:19:01,214-Arwal [33-Arwal],003,Main,https://drive.google.com/open?id=10uvUQBj4RKLO3qzXum4gZm9X6RQaYrWc,https://drive.google.com/open?id=1dQuNWI_y1iw9xoyXWZQk_3s-vAGyHMl_
22/09/2020 13:20:26,214-Arwal [33-Arwal],004,Main,https://drive.google.com/open?id=1ntg20ZNLYuwEDmaxpO67ryo1x_X3zoWz,https://drive.google.com/open?id=1kmWxBsKgl-ogT3QY1lrCy7ArnWxURHJO
22/09/2020 13:24:14,214-Arwal [33-Arwal],005,Main,https://drive.google.com/open?id=15HqKD3mVoa_WMRYpH-9U4Nb_OoE9zfWU,https://drive.google.com/open?id=1LMZOVvwNYwvLaYpMDhdp-6uOoQgiiCz3
22/09/2020 13:27:08,214-Arwal [33-Arwal],012,Main,https://drive.google.com/open?id=1dz0rc53Y7oOB5BLgm-pMEiSkFacUN433,https://drive.google.com/open?id=12W0fIaslwuJA2_z0DG3pbSzTpwrOmj2I
22/09/2020 13:30:46,214-Arwal [33-Arwal],012,Auxiliary,https://drive.google.com/open?id=10ATnLolc6_jHjzYGOdq1-VYoJp-wwrKS,https://drive.google.com/open?id=1j_R5diiQVkLRehWKMroGn0jDwIBA5Fnb
22/09/2020 13:34:15,214-Arwal [33-Arwal],007,Main,https://drive.google.com/open?id=14TzMhlOHaaZou2PrnrYPG5-sTyLjZoEf,https://drive.google.com/open?id=1FVnjDZzaQs8VXNXj4CfR7U8wVn6sLvtN
22/09/2020 13:39:56,214-Arwal [33-Arwal],006,Main,https://drive.google.com/open?id=1VmMoO7sbM2fOmu27LFhkomOLqzXTuncQ,https://drive.google.com/open?id=1QN-dGYQIGAucBrJytRLu7Rw8EKUgxrAK
22/09/2020 13:42:10,214-Arwal [33-Arwal],008,Main,https://drive.google.com/open?id=1OKzJmNbZ60hV1HLP5CTXrRrPr7rsyte7,https://drive.google.com/open?id=1aLb0pJLnryq0QGlv_zXLbClAO1tO2EF2
22/09/2020 13:47:21,214-Arwal [33-Arwal],009,Main,https://drive.google.com/open?id=1ckteWspHc0TFg0G778LwbSkVcMkLNt-o,https://drive.google.com/open?id=10eQ8c54HAFnidL-Q2zlObsNgZCgycJf2
22/09/2020 13:56:13,214-Arwal [33-Arwal],109,Main,https://drive.google.com/open?id=1v-UDfbxwjSyiyxYEnTV0JOK70r4HglSP,https://drive.google.com/open?id=1q1cMrWVgROzYXEXI-Eaa5PddZzPzLsT-
